idCliente,nomeCliente,valor
368,Prasit Roy,96105
656,Manuel Ding,96105
187,Jan Lopez,96105
679,Akira Sulaiman,96105
674,Sunday Mahagna,96105
538,Hanna Ono,96105
366,Diego Jankowski,95143.95
860,Mohammed Pavlov,95143.95
491,Mohamed Rungrueang,95143.95
9,Mei Maluleke,95143.95
887,Muhammad Nkosi,95143.95
663,Somsak Dijkstra,95143.95
792,Sunita Eze,95143.95
603,Robert Ber,95143.95
799,Li Sato,95143.95
978,Somkiat Clarke,95143.95
932,Iwona Tshabalala,95143.95
364,Gang Ngcobo,95143.95
481,Sam Roberts,95143.95
926,Manfred Jankowski,95143.95
771,Hui Shapiro,95143.95
754,Jose-Maria Salazar,95143.95
652,Kamil Griffiths,95143.95
726,Raj Sadowski,95143.95
573,Nadezhda Das,95143.95
135,Francis Michalak,95143.95
287,Miguel-Angel Petrova,95143.95
698,Min Peretz,95143.95
183,Christian Goldstein,95143.95
55,Nadezhda Wambua,95143.95
687,Blessing Fujii,94182.9
867,Jianjun Ragnarsson,94182.9
962,Jean Sanz,94182.9
157,Caroline Gunnarsson,94182.9
760,Amiyt Mikhaylova,94182.9
196,Viktor Govender,94182.9
446,Maria Fang,94182.9
88,Marina Vargas,94182.9
853,Bongani Fang,94182.9
565,Yoshimi Vermeulen,94182.9
520,Jose-Antonio Govender,94182.9
894,Anil Suarez,94182.9
866,Nikita Powell,94182.9
991,Manju Schouten,94182.9
459,Kiyoko Scott,94182.9
39,Martha Kibet,94182.9
376,Lilja Maeda,93221.84999999999
329,Adamu Einarsson,93221.84999999999
721,Herbert Sah,93221.84999999999
493,Xiaoyan Mitchell,93221.84999999999
269,Gareth Chmielewski,93221.84999999999
844,Fatima Mutuku,93221.84999999999
28,Hauwa Harris,93221.84999999999
308,Edda Krawczyk,93221.84999999999
296,Pawel Molefe,93221.84999999999
792,Sunita Eze,93221.84999999999
60,Amiyt Sichantha,93221.84999999999
889,Peter Audu,93221.84999999999
139,Denis Abubakar,93221.84999999999
832,Tatyana Nguyen,92975
298,Eva Shemesh,92975
496,Petra Hughes,92975
849,Ying Vermeulen,92975
267,Lihua Achieng,92975
340,Udom Cano,92975
